"","feature","enrich_group","ef_lda","pvalue","padj"
"marker1","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus_2","Control",4.73975504248819,0.0121747101058582,0.0121747101058582
"marker2","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella_9","Control",4.65841930444598,0.00839007411988522,0.00839007411988522
"marker3","k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales","Control",4.63771698525902,0.0432662879569916,0.0432662879569916
"marker4","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella_9|s__Prevotella_9_s__","Control",4.44069823997768,0.00483916211195545,0.00483916211195545
"marker5","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-002","Control",4.42256353400931,0.0333022483124473,0.0333022483124473
"marker6","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_UCG-002|s__Ruminococcaceae_UCG-002_s__","Control",4.36891371971283,0.0313585048047626,0.0313585048047626
"marker7","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_g__","Control",4.32544869638942,0.0136715712441469,0.0136715712441469
"marker8","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_g__|s__Ruminococcaceae_g___s__","Control",4.32544869638942,0.0136715712441469,0.0136715712441469
"marker9","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella_9|s__copri","Control",4.25521451961148,0.0155527455532075,0.0155527455532075
"marker10","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_massiliensis","Control",4.2462572799263,0.00459229244485844,0.00459229244485844
"marker11","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__obeum","Control",4.23902838326694,0.0051523295343928,0.0051523295343928
"marker12","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum","Control",4.23593370301046,0.0285799566019766,0.0285799566019766
"marker13","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_s__","Control",4.23593370301046,0.0285799566019766,0.0285799566019766
"marker14","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__CM04-06","Control",4.13172429790521,0.00829425949368942,0.00829425949368942
"marker15","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136_group","Control",4.09645093300166,0.0211097348766537,0.0211097348766537
"marker16","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_NK4A136_group|s__Lachnospiraceae_NK4A136_group_s__","Control",4.09645093300166,0.0211097348766537,0.0211097348766537
"marker17","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae","Control",4.0904962002109,0.00520874612678491,0.00520874612678491
"marker18","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__prausnitzii","Control",4.07784270565124,0.0155842107703119,0.0155842107703119
"marker19","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae","Control",4.0330467684871,0.0389223776112524,0.0389223776112524
"marker20","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus_3|s__comes","Control",4.01775536093412,0.000727830059845845,0.000727830059845845
"marker21","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenellaceae_R-7_group","Control",3.97965848980717,0.00735202525629924,0.00735202525629924
"marker22","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenellaceae_R-7_group|s__Christensenellaceae_R-7_group_s__","Control",3.97965848980717,0.00735202525629924,0.00735202525629924
"marker23","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_s__","Control",3.97178992854244,0.0499914298399997,0.0499914298399997
"marker24","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea","Control",3.9442051147085,0.0304322388111761,0.0304322388111761
"marker25","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus_3","Control",3.94145582031113,0.00231922180470311,0.00231922180470311
"marker26","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus_1","Control",3.92786515063284,0.00328152973093892,0.00328152973093892
"marker27","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus_1|s__bicirculans","Control",3.8095121518223,0.00287783014072009,0.00287783014072009
"marker28","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus_2|s__eutactus","Control",3.79261629163238,0.0387631462445537,0.0387631462445537
"marker29","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus_2","Control",3.79040341404088,0.0387631462445537,0.0387631462445537
"marker30","k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__succinatutens","Control",3.78222694312312,0.0265313474150129,0.0265313474150129
